prediction_time,image_time,forecast_end,prediction_label,probability,image_path,pred_binary,gt_label,matched_goes
2026-03-25T20:51:04.493504,2/1/2026 0:00,2/1/2026 12:00,Flare,0.746586978,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_00.00.00.jpg,1,1,"M1.7, M1.0, M1.9, C8.4, C5.4, C5.4, M6.6, M2.4, M2.5, M6.7"
2026-03-25T20:51:04.547556,2/1/2026 1:00,2/1/2026 13:00,Flare,0.756721437,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_01.00.00.jpg,1,1,"M1.7, M1.0, M1.9, C8.4, C5.4, C5.4, M6.6, M2.4, M2.5, M6.7, X1.0, M5.8"
2026-03-25T20:51:04.607263,2/1/2026 2:00,2/1/2026 14:00,Flare,0.843869686,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_02.00.00.jpg,1,1,"M1.0, M1.9, C8.4, C5.4, C5.4, M6.6, M2.4, M2.5, M6.7, X1.0, M5.8"
2026-03-25T20:51:04.662971,2/1/2026 3:00,2/1/2026 15:00,Flare,0.864538789,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_03.00.00.jpg,1,1,"M1.0, M1.9, C8.4, C5.4, C5.4, M6.6, M2.4, M2.5, M6.7, X1.0, M5.8, M1.5"
2026-03-25T20:51:04.721349,2/1/2026 4:00,2/1/2026 16:00,Flare,0.87794441,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_04.00.00.jpg,1,1,"M1.9, C8.4, C5.4, C5.4, M6.6, M2.4, M2.5, M6.7, X1.0, M5.8, M1.5, M1.5, M5.1"
2026-03-25T20:51:04.775109,2/1/2026 5:00,2/1/2026 17:00,Flare,0.873807073,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_05.00.00.jpg,1,1,"C8.4, C5.4, C5.4, M6.6, M2.4, M2.5, M6.7, X1.0, M5.8, M1.5, M1.5, M5.1, M1.2"
2026-03-25T20:51:04.832407,2/1/2026 6:00,2/1/2026 18:00,Flare,0.893199384,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_06.00.00.jpg,1,1,"C5.4, C5.4, M6.6, M2.4, M2.5, M6.7, X1.0, M5.8, M1.5, M1.5, M5.1, M1.2, M1.1, M2.5"
2026-03-25T20:51:04.889248,2/1/2026 7:00,2/1/2026 19:00,Flare,0.887089193,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_07.00.00.jpg,1,1,"C5.4, M6.6, M2.4, M2.5, M6.7, X1.0, M5.8, M1.5, M1.5, M5.1, M1.2, M1.1, M2.5, M2.1, M1.9"
2026-03-25T20:51:04.945748,2/1/2026 8:00,2/1/2026 20:00,Flare,0.926142693,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_08.00.00.jpg,1,1,"M6.6, M2.4, M2.5, M6.7, X1.0, M5.8, M1.5, M1.5, M5.1, M1.2, M1.1, M2.5, M2.1, M1.9, M1.9"
2026-03-25T20:51:05.001185,2/1/2026 9:00,2/1/2026 21:00,Flare,0.93791157,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_09.00.00.jpg,1,1,"M6.6, M2.4, M2.5, M6.7, X1.0, M5.8, M1.5, M1.5, M5.1, M1.2, M1.1, M2.5, M2.1, M1.9, M1.9, M2.2"
2026-03-25T20:51:05.059362,2/1/2026 10:00,2/1/2026 22:00,Flare,0.918838739,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_10.00.00.jpg,1,1,"M2.4, M2.5, M6.7, X1.0, M5.8, M1.5, M1.5, M5.1, M1.2, M1.1, M2.5, M2.1, M1.9, M1.9, M2.2"
2026-03-25T20:51:05.111328,2/1/2026 11:00,2/1/2026 23:00,Flare,0.933211029,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_11.00.00.jpg,1,1,"M6.7, X1.0, M5.8, M1.5, M1.5, M5.1, M1.2, M1.1, M2.5, M2.1, M1.9, M1.9, M2.2"
2026-03-25T20:51:05.166749,2/1/2026 12:00,2/2/2026 0:00,Flare,0.930907547,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_12.00.00.jpg,1,1,"X1.0, M5.8, M1.5, M1.5, M5.1, M1.2, M1.1, M2.5, M2.1, M1.9, M1.9, M2.2, M1.4, X8.1"
2026-03-25T20:51:05.220816,2/1/2026 13:00,2/2/2026 1:00,Flare,0.921477497,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_13.00.00.jpg,1,1,"M1.5, M1.5, M5.1, M1.2, M1.1, M2.5, M2.1, M1.9, M1.9, M2.2, M1.4, X8.1, X1.5, X2.8"
2026-03-25T20:51:05.272911,2/1/2026 14:00,2/2/2026 2:00,Flare,0.933315516,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_14.00.00.jpg,1,1,"M1.5, M1.5, M5.1, M1.2, M1.1, M2.5, M2.1, M1.9, M1.9, M2.2, M1.4, X8.1, X1.5, X2.8"
2026-03-25T20:51:05.324199,2/1/2026 15:00,2/2/2026 3:00,Flare,0.937573195,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_15.00.00.jpg,1,1,"M1.5, M5.1, M1.2, M1.1, M2.5, M2.1, M1.9, M1.9, M2.2, M1.4, X8.1, X1.5, X2.8, M4.4, M5.2"
2026-03-25T20:51:05.379906,2/1/2026 16:00,2/2/2026 4:00,Flare,0.933416426,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_16.00.00.jpg,1,1,"M1.2, M1.1, M2.5, M2.1, M1.9, M1.9, M2.2, M1.4, X8.1, X1.5, X2.8, M4.4, M5.2, M1.9"
2026-03-25T20:51:05.435655,2/1/2026 17:00,2/2/2026 5:00,Flare,0.948113859,data\hmi_jpg\2026\02\01\HMI.m2026.02.01_17.00.00.jpg,1,1,"M1.1, M2.5, M2.1, M1.9, M1.9, M2.2, M1.4, X8.1, X1.5, X2.8, M4.4, M5.2, M1.9, M3.0"
