Start,GOES Class,Class_Type
2026-01-01 00:56:00,C1.7,C
2026-01-01 01:19:00,C1.9,C
2026-01-01 02:15:00,C9.6,C
2026-01-01 05:34:00,C2.0,C
2026-01-01 05:52:00,C2.4,C
2026-01-01 06:09:00,C4.4,C
2026-01-01 06:42:00,C5.3,C
2026-01-01 15:04:00,C1.6,C
2026-01-01 15:48:00,C2.1,C
2026-01-01 17:27:00,C6.3,C
2026-01-01 18:46:00,C3.9,C
2026-01-01 21:43:00,C2.7,C
2026-01-01 22:34:00,C1.8,C
2026-01-01 23:41:00,C1.8,C
2026-01-02 00:08:00,C6.5,C
2026-01-02 00:57:00,C2.0,C
2026-01-02 01:41:00,C1.9,C
2026-01-02 02:45:00,C5.5,C
2026-01-02 03:52:00,C5.7,C
2026-01-02 09:07:00,C1.8,C
2026-01-02 09:16:00,C2.3,C
2026-01-02 12:38:00,C1.7,C
2026-01-02 19:02:00,C1.4,C
2026-01-02 19:14:00,C1.5,C
2026-01-02 20:48:00,C2.1,C
2026-01-03 01:27:00,C3.1,C
2026-01-03 06:06:00,C2.4,C
2026-01-03 06:37:00,C2.5,C
2026-01-03 07:41:00,C2.0,C
2026-01-03 14:51:00,C2.4,C
2026-01-03 17:23:00,C8.3,C
2026-01-03 18:56:00,C1.7,C
2026-01-03 20:26:00,C3.5,C
2026-01-03 22:15:00,C1.7,C
2026-01-04 06:33:00,C1.5,C
2026-01-04 07:13:00,C1.6,C
2026-01-04 10:47:00,C1.6,C
2026-01-04 11:17:00,C1.6,C
2026-01-04 11:53:00,C1.5,C
2026-01-04 15:22:00,C1.7,C
2026-01-04 15:42:00,C1.8,C
2026-01-04 17:38:00,C2.0,C
2026-01-04 17:40:00,C1.9,C
2026-01-04 19:59:00,C1.7,C
2026-01-04 20:51:00,C2.9,C
2026-01-04 21:27:00,C2.0,C
2026-01-05 01:09:00,C1.8,C
2026-01-05 02:17:00,C1.4,C
2026-01-05 06:23:00,C1.1,C
2026-01-05 07:55:00,C1.7,C
2026-01-05 09:11:00,C3.0,C
2026-01-05 10:12:00,C2.8,C
2026-01-05 12:37:00,C2.1,C
2026-01-05 15:41:00,C1.6,C
2026-01-05 18:18:00,C3.4,C
2026-01-05 19:17:00,C2.3,C
2026-01-05 20:32:00,C2.3,C
2026-01-06 00:10:00,C2.1,C
2026-01-06 01:00:00,C2.8,C
2026-01-06 01:45:00,C3.3,C
2026-01-06 06:49:00,C1.8,C
2026-01-06 07:45:00,C4.0,C
2026-01-06 11:51:00,C2.1,C
2026-01-06 12:19:00,C3.1,C
2026-01-06 13:25:00,C3.0,C
2026-01-06 15:43:00,C4.0,C
2026-01-06 16:06:00,C5.1,C
2026-01-06 16:41:00,C2.2,C
2026-01-06 19:51:00,C2.0,C
2026-01-06 23:59:00,C4.5,C
2026-01-07 03:44:00,C2.9,C
2026-01-07 04:02:00,C2.6,C
2026-01-07 05:25:00,C2.8,C
2026-01-07 06:06:00,C7.4,C
2026-01-07 11:21:00,C2.1,C
2026-01-07 12:08:00,C1.3,C
2026-01-07 13:56:00,C1.5,C
2026-01-07 14:12:00,C1.9,C
2026-01-07 15:43:00,C1.1,C
2026-01-07 16:14:00,C1.7,C
2026-01-07 21:52:00,C1.6,C
2026-01-07 22:01:00,C2.1,C
2026-01-07 23:06:00,C3.2,C
2026-01-07 23:57:00,C1.3,C
2026-01-08 01:33:00,C1.2,C
2026-01-08 02:15:00,C2.4,C
2026-01-08 04:42:00,C1.5,C
2026-01-08 05:24:00,C4.4,C
2026-01-08 08:25:00,C1.3,C
2026-01-08 09:31:00,C1.1,C
2026-01-08 16:00:00,C2.8,C
2026-01-08 16:18:00,C5.6,C
2026-01-08 16:49:00,C5.5,C
2026-01-08 17:21:00,C5.7,C
2026-01-08 19:45:00,C3.4,C
2026-01-09 09:40:00,C1.1,C
2026-01-09 11:15:00,C3.4,C
2026-01-09 14:09:00,C1.2,C
2026-01-09 17:29:00,C1.1,C
2026-01-09 21:44:00,B7.9,B
2026-01-09 22:30:00,C1.3,C
2026-01-10 08:04:00,C1.1,C
2026-01-10 14:23:00,B9.7,B
2026-01-10 15:23:00,B8.6,B
2026-01-10 15:23:00,B8.7,B
2026-01-10 17:53:00,C1.0,C
2026-01-10 18:48:00,C1.2,C
2026-01-10 19:31:00,C2.1,C
2026-01-10 20:01:00,C3.8,C
2026-01-10 22:08:00,C2.1,C
2026-01-11 04:14:00,B6.9,B
2026-01-11 11:19:00,B7.8,B
2026-01-11 14:09:00,C3.1,C
2026-01-11 16:12:00,B6.5,B
2026-01-11 21:24:00,M1.3,M
2026-01-11 21:53:00,M3.4,M
2026-01-12 10:03:00,C5.2,C
2026-01-12 12:42:00,C1.4,C
2026-01-13 00:08:00,B9.4,B
2026-01-13 02:51:00,C1.0,C
2026-01-13 07:30:00,B9.2,B
2026-01-13 09:13:00,C2.0,C
2026-01-13 10:15:00,C1.9,C
2026-01-13 12:02:00,C1.5,C
2026-01-13 15:15:00,B8.4,B
2026-01-13 16:09:00,C1.3,C
2026-01-13 16:22:00,C2.4,C
2026-01-13 18:54:00,C1.5,C
2026-01-14 03:34:00,C9.6,C
2026-01-14 04:09:00,C2.5,C
2026-01-14 06:12:00,C1.1,C
2026-01-14 06:25:00,C1.2,C
2026-01-14 07:08:00,C1.5,C
2026-01-14 09:45:00,C1.8,C
2026-01-14 14:15:00,C1.5,C
2026-01-14 16:07:00,C3.6,C
2026-01-14 18:32:00,C1.8,C
2026-01-14 20:10:00,M1.6,M
2026-01-14 22:29:00,C1.4,C
2026-01-14 23:21:00,C1.9,C
2026-01-14 23:33:00,C3.8,C
2026-01-15 06:20:00,C9.8,C
2026-01-15 12:45:00,C2.3,C
2026-01-15 13:08:00,C1.6,C
2026-01-15 18:47:00,C1.4,C
2026-01-16 02:59:00,C1.5,C
2026-01-16 08:47:00,C6.6,C
2026-01-16 11:36:00,C1.3,C
2026-01-16 12:31:00,C2.0,C
2026-01-16 17:15:00,C1.4,C
2026-01-16 18:43:00,C1.4,C
2026-01-16 19:04:00,C4.0,C
2026-01-16 20:14:00,C1.5,C
2026-01-16 20:36:00,C1.9,C
2026-01-16 22:58:00,C5.2,C
2026-01-16 23:25:00,C2.8,C
2026-01-16 23:54:00,C1.7,C
2026-01-17 00:49:00,C3.1,C
2026-01-17 02:20:00,C3.0,C
2026-01-17 02:29:00,C4.4,C
2026-01-17 02:42:00,C4.7,C
2026-01-17 03:02:00,C2.4,C
2026-01-17 03:57:00,C1.9,C
2026-01-17 04:13:00,C2.0,C
2026-01-17 06:03:00,C2.8,C
2026-01-17 07:29:00,C2.2,C
2026-01-17 07:43:00,C2.0,C
2026-01-17 10:19:00,M2.2,M
2026-01-17 12:39:00,C3.1,C
2026-01-17 13:47:00,C2.6,C
2026-01-17 15:03:00,C5.7,C
2026-01-17 18:04:00,C1.9,C
2026-01-17 23:32:00,C8.4,C
2026-01-17 23:46:00,M1.2,M
2026-01-18 01:35:00,C1.5,C
2026-01-18 03:06:00,C1.5,C
2026-01-18 03:41:00,C1.7,C
2026-01-18 03:53:00,C2.7,C
2026-01-18 06:01:00,C7.2,C
2026-01-18 11:42:00,C2.2,C
2026-01-18 13:59:00,C2.3,C
2026-01-18 16:31:00,C2.5,C
2026-01-18 17:27:00,X1.9,X
2026-01-18 23:10:00,C7.0,C
2026-01-18 23:59:00,C5.9,C
2026-01-19 01:57:00,C6.5,C
2026-01-19 06:02:00,C3.9,C
2026-01-19 07:27:00,C3.2,C
2026-01-19 11:09:00,M1.2,M
2026-01-19 12:23:00,C2.8,C
2026-01-19 12:57:00,C3.4,C
2026-01-19 13:57:00,C3.6,C
2026-01-19 15:22:00,C3.6,C
2026-01-19 17:44:00,C3.8,C
2026-01-19 18:30:00,C5.8,C
2026-01-19 19:09:00,C8.0,C
2026-01-20 04:31:00,C2.0,C
2026-01-20 05:28:00,C2.1,C
2026-01-20 06:07:00,C2.0,C
2026-01-20 06:24:00,C2.7,C
2026-01-20 07:25:00,C4.4,C
2026-01-20 08:09:00,C4.0,C
2026-01-20 12:35:00,C3.7,C
2026-01-20 12:49:00,C4.2,C
2026-01-20 13:48:00,C3.3,C
2026-01-20 13:53:00,C3.3,C
2026-01-20 15:32:00,C2.4,C
2026-01-20 17:19:00,C2.2,C
2026-01-21 00:05:00,C2.1,C
2026-01-21 01:15:00,M1.2,M
2026-01-21 04:43:00,C2.0,C
2026-01-21 05:02:00,C5.1,C
2026-01-21 06:53:00,M3.4,M
2026-01-21 11:49:00,C2.3,C
2026-01-21 12:09:00,C3.6,C
2026-01-21 16:24:00,C2.3,C
2026-01-21 18:16:00,C6.3,C
2026-01-21 18:26:00,C7.0,C
2026-01-21 19:05:00,C3.2,C
2026-01-21 19:29:00,C8.6,C
2026-01-21 19:47:00,C7.6,C
2026-01-21 20:47:00,C3.2,C
2026-01-22 01:03:00,C2.2,C
2026-01-22 03:39:00,C2.1,C
2026-01-22 09:22:00,C1.6,C
2026-01-22 09:36:00,C1.7,C
2026-01-22 10:33:00,C8.3,C
2026-01-22 12:18:00,C2.3,C
2026-01-22 17:02:00,C4.3,C
2026-01-22 17:33:00,C2.6,C
2026-01-22 19:34:00,C1.9,C
2026-01-22 19:43:00,C9.5,C
2026-01-22 21:16:00,C2.3,C
2026-01-22 22:29:00,C1.9,C
2026-01-22 22:56:00,C2.1,C
2026-01-22 23:45:00,C2.6,C
2026-01-23 00:16:00,C4.2,C
2026-01-23 01:11:00,C3.2,C
2026-01-23 01:29:00,C3.5,C
2026-01-23 01:29:00,C3.4,C
2026-01-23 01:51:00,C3.8,C
2026-01-23 02:04:00,C3.7,C
2026-01-23 05:27:00,C2.7,C
2026-01-23 06:01:00,C2.6,C
2026-01-23 09:29:00,C1.8,C
2026-01-23 10:05:00,C2.5,C
2026-01-23 12:59:00,C3.4,C
2026-01-23 19:35:00,C1.9,C
2026-01-23 21:36:00,C4.1,C
2026-01-23 21:41:00,C5.9,C
2026-01-23 22:18:00,C5.9,C
2026-01-24 05:51:00,C3.7,C
2026-01-24 08:20:00,C4.1,C
2026-01-24 09:35:00,C2.2,C
2026-01-24 12:08:00,C2.1,C
2026-01-24 18:31:00,C2.7,C
2026-01-24 20:05:00,C2.1,C
2026-01-24 21:09:00,C2.5,C
2026-01-25 03:35:00,C2.1,C
2026-01-25 04:04:00,C2.5,C
2026-01-25 04:52:00,C1.8,C
2026-01-25 07:54:00,C1.7,C
2026-01-25 10:12:00,C6.3,C
2026-01-25 15:36:00,C4.5,C
2026-01-25 16:59:00,C2.3,C
2026-01-25 17:14:00,C2.1,C
2026-01-25 17:45:00,C2.2,C
2026-01-25 19:06:00,C3.1,C
2026-01-25 19:31:00,C2.9,C
